ID,Nombre,Dirección,Código postal,Ciudad,Provincia,País,Dirección completa,Consulta geocodificación,Latitud,Longitud,Observaciones
36,REPAMAR NAUTICA EUROPA S.L. / REPAMAR,"C/ Eslovaquia, 2, Parque Empresarial de Poniente",11011,CÁDIZ,Cádiz,España,"C/ Eslovaquia, 2, Parque Empresarial de Poniente, 11011 CÁDIZ, Cádiz, España","C/ Eslovaquia, 2, Parque Empresarial de Poniente, 11011 CÁDIZ, Cádiz, España",,,
37,HERZOG INVERSIONES,C/ Colón Nº: 6 Planta 00 Puerta 0C,38670,Adeje (S/C de Tenerife),Santa Cruz de Tenerife,España,"C/ Colón Nº: 6 Planta 00 Puerta 0C, 38670 Adeje (S/C de Tenerife), Santa Cruz de Tenerife, España","C/ Colón Nº: 6 Planta 00 Puerta 0C, 38670 Adeje (S/C de Tenerife), Santa Cruz de Tenerife, España",,,NUEVA DIRECCION ENVÍOS 29/10/2020: | Puerto Deportivo de Puerto Colón
38,MOTORAS NÁUTICAS ISLAS CANARIAS,"Avda. Juan Díaz RodrÍguez, Varadero Puerto Rico Local 10",35130,PUERTO RICO DE GRAN CANARIA (Isla de Gran Canaria),Las Palmas,España,"Avda. Juan Díaz RodrÍguez, Varadero Puerto Rico Local 10, 35130 PUERTO RICO DE GRAN CANARIA (Isla de Gran Canaria), Las Palmas, España","Avda. Juan Díaz RodrÍguez, Varadero Puerto Rico Local 10, 35130 PUERTO RICO DE GRAN CANARIA (Isla de Gran Canaria), Las Palmas, España",,,
39,SPINNAKER SHOP CANARIAS,C/ San Juan Bautista 32,38002,Santa Cruz de Tenerife,Santa Cruz de Tenerife,España,"C/ San Juan Bautista 32, 38002 Santa Cruz de Tenerife, Santa Cruz de Tenerife, España","C/ San Juan Bautista 32, 38002 Santa Cruz de Tenerife, Santa Cruz de Tenerife, España",,,
40,ALISIOS SAILING CENTER,"Muelle Deportivo, C. Joaquín Blanco Torrent, S/N",35005,LAS PALMAS DE GRAN CANARIA (Isla Gran Canaria),Las Palmas,España,"Muelle Deportivo, C. Joaquín Blanco Torrent, S/N, 35005 LAS PALMAS DE GRAN CANARIA (Isla Gran Canaria), Las Palmas, España","Muelle Deportivo, C. Joaquín Blanco Torrent, S/N, 35005 LAS PALMAS DE GRAN CANARIA (Isla Gran Canaria), Las Palmas, España",,,
41,MARINA RUBICÓN,"Urbanización Castillo del Aguila, C/ El Berrugo, 2",35580,PLAYA BLANCA (Isla LANZAROTE),Las Palmas,España,"Urbanización Castillo del Aguila, C/ El Berrugo, 2, 35580 PLAYA BLANCA (Isla LANZAROTE), Las Palmas, España","Urbanización Castillo del Aguila, C/ El Berrugo, 2, 35580 PLAYA BLANCA (Isla LANZAROTE), Las Palmas, España",,,Puerto Deportivo Rubicón
42,CRUZ MARINA,Pto. Deportivo Nave 4,39600,MALIAÑO,Cantabria,España,"Pto. Deportivo Nave 4, 39600 MALIAÑO, Cantabria, España","Pto. Deportivo Nave 4, 39600 MALIAÑO, Cantabria, España",,,
43,NÁUTICA GORDO,Pto. Deportivo Oropesa de Mar Naves 3 y 4,12594,OROPESA DEL MAR,Castellón,España,"Pto. Deportivo Oropesa de Mar Naves 3 y 4, 12594 OROPESA DEL MAR, Castellón, España","Pto. Deportivo Oropesa de Mar Naves 3 y 4, 12594 OROPESA DEL MAR, Castellón, España",,,
44,NÁUTICA LES CASES,"Carretera Nacional 340, km 1053 Nave 7",12500,VINAROZ,Castellón,España,"Carretera Nacional 340, km 1053 Nave 7, 12500 VINAROZ, Castellón, España","Carretera Nacional 340, km 1053 Nave 7, 12500 VINAROZ, Castellón, España",,,
45,NÁUTICA RAMÓN,,12759,ALCOCEBER,Castellón,España,"12759 ALCOCEBER, Castellón, España","12759 ALCOCEBER, Castellón, España",,,"Puerto deportivo Las Fuentes, S/N local 32"
46,AMPURIANAUTIC,Pla de Roses nº 20-A,17487,AMPURIABRAVA,Girona,España,"Pla de Roses nº 20-A, 17487 AMPURIABRAVA, Girona, España","Pla de Roses nº 20-A, 17487 AMPURIABRAVA, Girona, España",,,
47,METROPOL NAUTICAS S.A,"Avinguda de la Tramuntana, 6",17487,EMPURIABRAVA,Girona,España,"Avinguda de la Tramuntana, 6, 17487 EMPURIABRAVA, Girona, España","Avinguda de la Tramuntana, 6, 17487 EMPURIABRAVA, Girona, España",,,
48,METROPOL NAUTICAS S.A.,"Carretera de Palamós, 133",17220,SANT FELIU DE GUÍXOLS,Girona,España,"Carretera de Palamós, 133, 17220 SANT FELIU DE GUÍXOLS, Girona, España","Carretera de Palamós, 133, 17220 SANT FELIU DE GUÍXOLS, Girona, España",,,
